A_0,A_1,A_2,A_3,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
0.0,#,0.0,1.0,#,#,1.0,0.0,#,0.0,#,#,#,#,#,#,#,#,#,0.0,0.0,0.006046617599999997,0.6,1,39.171071999999995,9947,8759,0.35,0.00030581982051303705,6,10,False
1.0,1.0,0.0,1.0,#,#,#,#,#,#,#,#,0.0,#,1.0,#,#,0.0,#,0.0,0.0,1.0,1.0,1,37.0,9266,8760,0.4,0.0002888696372410327,1,1,False
0.0,#,#,1.0,1.0,#,#,#,1.0,#,#,#,#,1.0,1.0,1.0,#,1.0,#,#,1.0,0.1,1.0,1,48.5,8765,8765,0.4,0.00037865344341054283,0,0,False
1.0,0.0,0.0,0.0,#,1.0,0.0,#,#,0.0,#,#,#,#,#,#,0.0,#,#,#,0.0,0.0009765625,0.5,1,40.75,9470,8768,0.4,0.00031814696533978597,2,4,False
1.0,1.0,1.0,#,#,#,1.0,#,#,#,#,#,1.0,#,1.0,#,#,#,#,#,1.0,0.0009765625,0.5,1,46.6589675241472,9759,8773,0.3,0.0003642799735876088,9,18,False
1.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,#,#,#,#,1.0,1.0,1.0,2,33.75208918565403,9903,8775,0.25,0.0005270245275236142,33,33,False
0.0,#,1.0,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,0.0,#,0.0,1.0,0.1968744043407226,0.85,1,42.65776454600622,9878,8778,0.3,0.00033304143161941085,17,20,False
1.0,0.0,1.0,0.0,#,#,#,#,0.0,#,#,#,#,#,0.0,0.0,#,#,#,#,0.0,1.0,1.0,1,45.12,9815,8779,0.35,0.00035226481168419986,6,6,False
#,1.0,#,0.0,#,#,#,#,#,#,1.0,#,#,#,#,#,#,#,1.0,#,1.0,0.10173905790179563,0.7956989247311828,1,44.90642149185546,9993,8780,0.2,0.0003505973428687892,74,93,False
1.0,0.0,1.0,#,#,#,1.0,#,#,#,#,#,#,#,1.0,#,#,#,1.0,#,1.0,0.02654125572161959,0.6956521739130435,1,51.78631440272709,9971,8784,0.3,0.009497114566429743,16,23,False
#,0.0,0.0,1.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.11635449038968909,0.8064516129032258,1,41.92613410769683,9952,8790,0.25,0.0003273293824488992,25,31,False
0.0,1.0,1.0,1.0,#,#,#,#,#,#,#,1.0,#,#,0.0,#,#,#,0.0,#,1.0,1.0,1.0,1,47.72500377600001,9911,8792,0.35,0.0003726028250837848,13,13,False
1.0,0.0,0.0,0.0,#,#,1.0,#,#,#,#,#,1.0,#,1.0,#,#,#,1.0,#,1.0,1.0,1.0,1,36.333333333333336,9963,8795,0.4,0.0002836647789123655,3,3,False
1.0,1.0,1.0,1.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,1.0,1.0,1,55.36463515369472,9956,8797,0.3,0.00043224762358999786,19,19,False
#,1.0,0.0,1.0,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,1.0,0.09076271583074617,0.7866666666666666,1,41.871202034596614,9998,8801,0.2,0.0003269005119616193,59,75,False
0.0,1.0,0.0,0.0,#,#,1.0,#,#,#,#,0.0,#,#,0.0,#,#,#,#,#,0.0,1.693508780843028e-05,0.3333333333333333,1,46.71968,9337,8802,0.35,0.0003647539733410035,3,9,False
#,0.0,0.0,1.0,#,0.0,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,0.09973520189788244,0.7941176470588235,1,45.02133015817591,9920,8803,0.25,0.0003514944678621902,27,34,False
1.0,#,1.0,#,#,#,0.0,0.0,0.0,#,#,1.0,#,0.0,0.0,#,#,0.0,#,#,0.0,1.0,1.0,1,55.666666666666664,9815,8806,0.45,0.0004346056704437158,3,3,False
0.0,1.0,#,1.0,1.0,#,#,0.0,#,#,#,1.0,#,#,#,#,#,#,#,#,1.0,0.04717852373687206,0.7368421052631579,1,37.37537719019111,9998,8810,0.3,0.00029180031488316955,14,19,False
1.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,0.2101271438086314,0.8555555555555555,1,48.917654549194665,9997,8811,0.2,0.00038191419254886527,77,90,False
1.0,0.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,#,1.0,1.0,1.0,3,40.43284331484324,9971,8823,0.25,0.00094701249575532,41,41,False
#,0.0,1.0,0.0,#,#,1.0,#,#,#,#,#,#,0.0,#,#,1.0,#,#,#,1.0,0.17490122876598085,0.84,1,42.74183010474859,9973,8823,0.3,0.00033369775560477226,21,25,False
0.0,0.0,1.0,0.0,#,#,0.0,#,#,#,#,0.0,#,#,0.0,#,#,#,#,#,0.0,1.0,1.0,1,49.366400000000006,9989,8827,0.35,0.00038541767729447884,8,8,False
1.0,1.0,0.0,0.0,#,#,#,#,#,0.0,#,#,#,#,#,#,0.0,#,#,#,0.0,1.0,1.0,1,53.119993344655356,9922,8829,0.3,0.0004147230596680179,18,18,False
#,1.0,0.0,0.0,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,#,0.0,#,0.0,0.056313514709472656,0.75,2,53.6792704,9960,8829,0.3,0.0008381789928546651,9,12,False
1.0,#,1.0,0.0,0.0,1.0,#,#,#,#,#,#,#,#,0.0,#,#,0.0,0.0,#,0.0,1.0,1.0,2,36.666666666666664,9914,8835,0.4,0.0005725344161533981,3,3,False
#,1.0,0.0,0.0,#,#,0.0,#,#,#,#,1.0,#,#,#,#,0.0,#,#,#,0.0,0.0449794624657894,0.7333333333333333,1,51.09803757568,9895,8836,0.3,0.0003989370696814957,11,15,False
1.0,1.0,1.0,0.0,#,#,#,#,#,#,#,#,#,0.0,#,#,#,#,0.0,#,0.0,1.0,1.0,2,30.232080768204803,9914,8837,0.3,0.00047206109213799577,18,18,False
0.0,0.0,0.0,0.0,1.0,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,2,56.559819059199995,9942,8838,0.3,0.0008831575358945702,14,14,False
0.0,1.0,#,1.0,#,#,#,#,#,0.0,#,0.0,#,#,#,#,#,#,#,#,0.0,1.0,1.0,3,43.18455812156013,9916,8845,0.25,0.0010114627815396783,28,28,False
0.0,0.0,1.0,1.0,#,1.0,#,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,1.0,1.0,1.0,1,40.3559552,9974,8856,0.35,0.00031507054430106394,12,12,False
0.0,0.0,1.0,1.0,#,#,#,#,1.0,#,#,0.0,0.0,#,#,#,#,#,#,#,1.0,1.693508780843028e-05,0.3333333333333333,1,49.0,9974,8856,0.35,0.0003825570871570433,1,3,False
1.0,1.0,1.0,0.0,#,#,1.0,#,#,#,#,1.0,#,#,#,#,#,#,#,1.0,1.0,0.13443063274931202,0.8181818181818182,1,59.1451776,9799,8859,0.35,0.000461763405347796,9,11,False
#,1.0,1.0,0.0,#,#,1.0,#,#,#,#,1.0,#,#,#,#,#,0.0,1.0,#,1.0,1.0,1.0,1,48.7056,9981,8859,0.35,0.0003802586217191038,8,8,False
1.0,#,#,#,#,#,#,#,#,0.0,#,1.0,#,#,#,1.0,#,1.0,1.0,1.0,1.0,0.5646302773531383,0.9444444444444444,1,53.134168310251525,9997,8865,0.35,0.0004148337276996306,17,18,False
0.0,#,1.0,1.0,#,#,#,0.0,#,#,#,#,#,#,1.0,#,#,1.0,#,#,0.0,0.10737418240000006,0.8,1,50.40544980992,9867,8869,0.3,0.0003935298378800722,12,15,False
0.0,#,0.0,1.0,#,1.0,0.0,#,#,1.0,#,1.0,#,#,#,#,#,#,#,#,1.0,1.0,1.0,1,60.760000000000005,9758,8871,0.35,0.0004743707880747337,6,6,False
0.0,1.0,0.0,0.0,#,#,0.0,1.0,1.0,#,#,#,#,#,#,0.0,#,#,#,#,1.0,1.0,1.0,1,47.824,9852,8876,0.4,0.00037337571706527425,7,7,False
1.0,0.0,#,0.0,0.0,1.0,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,0.08101311022241207,0.7777777777777778,1,44.67232,9590,8877,0.3,0.0003487696452193332,7,9,False
#,1.0,1.0,0.0,#,#,#,1.0,1.0,#,1.0,#,#,#,#,1.0,#,#,#,#,1.0,0.13443063274931202,0.8181818181818182,1,43.041472000000006,9984,8879,0.35,0.00033603714602594776,9,11,False
0.0,1.0,#,0.0,#,#,#,1.0,#,#,1.0,0.0,#,#,#,1.0,#,#,#,#,1.0,1.0,1.0,1,35.8,9935,8879,0.35,0.0002795008922494316,7,7,False
#,0.0,0.0,1.0,0.0,0.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,0.0,1.0,1.0,2,46.943885857252965,9986,8885,0.3,0.0007330088258523843,21,21,False
0.0,0.0,1.0,1.0,#,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,6,35.22456736771154,9974,8888,0.25,0.0016500499455378082,31,31,False
0.0,0.0,1.0,1.0,#,#,#,1.0,#,#,#,#,1.0,#,#,#,1.0,#,#,#,1.0,1.0,1.0,1,32.0,9842,8888,0.35,0.00024983319977602827,3,3,False
1.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,1.0,0.05372484965410878,0.7464788732394366,1,42.249052587267734,9993,8891,0.2,0.003827717745064517,53,71,False
0.0,0.0,1.0,0.0,#,#,1.0,#,#,#,#,#,#,0.0,#,#,1.0,#,#,#,1.0,1.0,1.0,2,38.86583296,9973,8892,0.35,0.000606873463147339,12,12,False
0.0,0.0,1.0,#,#,#,1.0,#,#,#,#,#,#,#,0.0,#,1.0,#,#,1.0,1.0,0.02824752489999998,0.7,1,38.916736,9973,8892,0.35,0.0003038341462412172,7,10,False
0.0,#,1.0,1.0,0.0,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,0.0,0.012054376104299195,0.6428571428571429,2,46.4362242048,9806,8893,0.3,0.0007250819049126399,9,14,False
0.0,0.0,0.0,#,1.0,1.0,#,#,#,#,#,1.0,#,#,#,#,#,#,#,#,1.0,1.0,1.0,2,43.0565582790656,9964,8896,0.3,0.0006723098578876249,17,17,False
0.0,1.0,1.0,#,#,#,#,#,0.0,#,#,0.0,#,#,#,#,#,#,#,#,0.0,0.0921709536442885,0.7878787878787878,1,43.03847637670617,9957,8897,0.25,0.0003360137583336721,26,33,False
0.0,0.0,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,0.0,1.0,1.0,4,47.5617315504128,9989,8901,0.3,0.0014853124475160135,18,18,False
1.0,0.0,0.0,0.0,#,#,1.0,#,#,#,#,0.0,#,#,#,#,#,#,#,#,1.0,2.041419178021504e-07,0.21428571428571427,1,44.700526079999996,9963,8902,0.3,0.0003489898581949438,3,14,False
1.0,#,0.0,#,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,0.0,#,#,0.0,0.18814528037496547,0.8461538461538461,1,57.00132902079233,9988,8903,0.25,0.00044502576314846027,22,26,False
0.0,0.0,0.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,0.0,0.24395146617348143,0.868421052631579,1,43.53659285101275,9953,8904,0.25,0.0003399026968535835,33,38,False
1.0,0.0,#,0.0,#,#,#,#,#,#,0.0,#,0.0,#,0.0,#,#,#,0.0,#,0.0,1.0,1.0,1,41.59232,9641,8911,0.35,0.0003247231997408905,9,9,False
0.0,0.0,1.0,1.0,#,#,#,1.0,#,#,#,#,0.0,#,#,#,#,#,#,#,1.0,1.0,1.0,2,37.43639251158051,9974,8914,0.3,0.0005845533580774689,23,23,False
1.0,1.0,#,1.0,#,#,#,1.0,#,#,#,#,0.0,#,1.0,#,#,0.0,#,0.0,0.0,1.0,1.0,1,55.25,9762,8923,0.4,0.0004313526339882988,4,4,False
1.0,0.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,0.0,1.0,#,#,#,#,0.0,1.0,1.0,1,36.260007108608,9883,8924,0.3,0.00028309229999515836,16,16,False
1.0,1.0,0.0,1.0,#,#,1.0,1.0,#,#,#,#,#,#,#,#,1.0,0.0,#,#,0.0,1.0,1.0,1,30.48,9890,8925,0.4,0.00023796612278666692,6,6,False
#,1.0,0.0,#,#,#,#,#,0.0,1.0,0.0,#,#,#,#,#,0.0,#,#,#,0.0,0.007264434303609265,0.6111111111111112,1,51.82499899916288,9960,8926,0.3,0.00040461266651094766,11,18,False
1.0,0.0,0.0,1.0,#,#,#,#,#,#,#,0.0,#,0.0,#,#,0.0,#,#,#,0.0,1.0,1.0,1,52.432,9602,8927,0.35,0.00040935169783302234,7,7,False
#,0.0,0.0,0.0,#,0.0,#,#,#,#,#,#,0.0,#,#,#,#,#,#,#,0.0,0.18814528037496547,0.8461538461538461,1,48.33595292911204,9860,8929,0.25,0.00037737268076573583,22,26,False
1.0,0.0,#,0.0,#,#,#,#,#,#,0.0,#,#,0.0,0.0,#,#,#,#,#,0.0,0.2630755761638284,0.875,1,37.008,9910,8930,0.3,0.0002889320955409767,7,8,False
1.0,#,1.0,0.0,0.0,#,#,#,#,#,#,#,0.0,#,0.0,1.0,#,#,#,#,0.0,0.00010485760000000006,0.4,1,42.6,9914,8930,0.35,0.00033259044720183764,2,5,False
1.0,1.0,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,#,0.0,#,#,0.0,#,0.0,1.0,1.0,1,28.197836799999997,9990,8935,0.35,0.00022014861857832003,11,11,False
#,#,1.0,0.0,#,#,#,#,#,0.0,0.0,#,1.0,#,#,#,#,0.0,0.0,#,0.0,0.056313514709472656,0.75,1,38.54377472,9989,8935,0.35,0.00030092233030449964,9,12,False
#,0.0,0.0,1.0,#,1.0,#,#,#,#,#,#,#,1.0,1.0,#,#,1.0,#,#,1.0,1.0,1.0,2,43.067712,9987,8936,0.35,0.0006724840184995281,10,10,False
1.0,0.0,#,0.0,#,#,#,#,#,#,#,#,1.0,0.0,1.0,#,#,0.0,#,1.0,1.0,1.0,1.0,1,38.0,9777,8938,0.4,0.00029667692473403355,3,3,False
0.0,1.0,1.0,0.0,#,#,0.0,#,#,#,#,1.0,#,#,0.0,#,#,#,#,#,0.0,0.0009765625,0.5,1,34.070528,9681,8939,0.35,0.0002659984071343364,5,10,False
0.0,1.0,1.0,0.0,#,#,0.0,#,#,#,1.0,0.0,#,#,#,#,#,0.0,#,1.0,1.0,1.0,1.0,1,38.8,9823,8940,0.45,0.0003029227547284343,5,5,False
0.0,1.0,1.0,0.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,0.0,#,1.0,1.0,0.0009765625,0.5,1,35.882688,9823,8940,0.35,0.0002801464612376529,5,10,False
1.0,0.0,1.0,1.0,#,1.0,#,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,0.0,1.0,1.0,1,52.743168,9900,8941,0.35,0.00041178107586764437,10,10,False
#,1.0,0.0,#,#,#,0.0,#,#,#,#,1.0,#,#,#,#,0.0,0.0,#,#,0.0,0.04139739548230255,0.7272727272727273,1,48.102591999999994,9859,8947,0.3,0.0003755507649025243,8,11,False
1.0,0.0,#,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,#,1.0,0.08966986063941502,0.7857142857142857,1,45.47064087926738,9919,8948,0.2,0.0003550023658354389,33,42,False
1.0,0.0,1.0,1.0,#,0.0,#,#,#,0.0,#,0.0,#,#,#,#,#,#,#,#,1.0,9.5367431640625e-07,0.25,1,35.0,9594,8948,0.35,0.0002732550622550309,1,4,False
1.0,1.0,0.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,0.0,1.0,#,#,#,1.0,1.0,1.0,1,40.8,9831,8949,0.35,0.000318537329714436,5,5,False
1.0,#,1.0,#,#,#,1.0,#,#,#,#,1.0,#,#,#,#,#,#,1.0,1.0,1.0,0.10737418240000006,0.8,2,57.386974445954664,9997,8955,0.3,0.010405706919433447,16,20,False
#,0.0,0.0,1.0,#,1.0,#,1.0,#,0.0,#,#,#,#,#,#,#,#,1.0,#,1.0,0.056313514709472656,0.75,1,39.419200000000004,9946,8962,0.35,0.00030775702714410047,6,8,False
0.0,1.0,0.0,0.0,#,#,#,#,#,#,0.0,#,#,#,1.0,#,#,#,#,#,1.0,7.911436545157429e-05,0.3888888888888889,1,49.771104358236165,9992,8967,0.3,0.000388577320568899,7,18,False
#,1.0,0.0,0.0,#,#,#,#,1.0,#,#,#,#,#,1.0,#,#,#,#,#,1.0,0.043992027686598226,0.7317073170731707,1,39.82328821057232,9992,8967,0.25,0.004406170278525268,30,41,False
0.0,#,1.0,0.0,#,#,1.0,#,#,#,#,#,#,0.0,1.0,#,#,#,1.0,1.0,1.0,9.5367431640625e-07,0.25,1,34.25,9061,8968,0.4,0.0002673995966352803,1,4,False
1.0,1.0,1.0,0.0,#,#,1.0,#,#,#,0.0,#,#,#,0.0,0.0,#,#,0.0,#,0.0,0.1,1.0,1,33.0,8971,8971,0.45,0.00025764048726902917,0,0,False
1.0,0.0,0.0,1.0,#,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,1.0,#,0.0,1.0,1.0,1,38.0,9643,8976,0.35,0.00029667692473403355,5,5,False
1.0,0.0,1.0,1.0,#,#,0.0,#,#,0.0,#,1.0,#,#,#,0.0,#,#,#,#,0.0,1.0,1.0,1,45.0,9985,8978,0.4,0.00035132793718503977,3,3,False
1.0,1.0,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,0.0,#,#,0.0,#,0.0,0.12086380610771207,0.8095238095238095,1,39.24361554321998,9990,8980,0.3,0.00030638618881071643,17,21,False
0.0,0.0,0.0,0.0,#,1.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,1.0,0.006046617599999997,0.6,1,54.26059902976,9942,8983,0.3,0.00042362809616778115,9,15,False
0.0,#,0.0,0.0,0.0,#,#,#,0.0,#,#,#,#,#,#,#,#,#,#,1.0,0.0,1.0,1.0,2,52.54371200977454,9951,8985,0.3,0.0008204477312195061,23,23,False
0.0,1.0,0.0,0.0,0.0,#,0.0,#,0.0,#,#,#,#,#,0.0,#,#,#,0.0,#,0.0,1.0,1.0,1,51.333333333333336,9723,8985,0.45,0.0004007740913073787,3,3,False
0.0,0.0,1.0,1.0,#,0.0,#,1.0,0.0,#,#,1.0,0.0,#,#,#,#,#,#,#,1.0,1.0,1.0,1,42.0,9376,8986,0.45,0.0003279060747060371,1,1,False
1.0,1.0,0.0,1.0,#,#,#,#,#,0.0,#,1.0,#,#,#,#,#,1.0,1.0,#,1.0,1.0,1.0,1,55.25,9791,8992,0.4,0.0004313526339882988,4,4,False
0.0,1.0,#,0.0,0.0,#,#,#,#,#,0.0,#,#,#,#,#,#,#,#,#,0.0,0.14347992566424797,0.8235294117647058,2,42.64410504948594,9939,8994,0.25,0.0006658695760061347,28,34,False
1.0,#,0.0,1.0,#,#,#,#,#,#,#,1.0,#,#,#,0.0,1.0,#,0.0,0.0,0.0,0.0,0.0,1,40.0,8995,8995,0.4,0.00031229149972003534,0,1,False
1.0,0.0,#,1.0,#,#,#,1.0,#,#,#,#,#,#,#,0.0,#,0.0,#,#,0.0,0.1793344879248387,0.8421052631578947,1,46.520340342702085,9985,8995,0.3,0.0003631976713277224,16,19,False
0.0,0.0,#,0.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.09973520189788244,0.7941176470588235,1,50.349309105375355,9953,8996,0.25,0.0003930915312596325,27,34,False
#,0.0,0.0,0.0,0.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,#,1.0,#,0.0,0.2630755761638284,0.875,1,50.128,9743,8996,0.35,0.0003913637074491483,7,8,False
1.0,1.0,#,1.0,1.0,#,#,#,#,0.0,#,#,#,#,1.0,#,#,0.0,#,#,0.0,0.00020904132382940202,0.42857142857142855,1,36.08,9751,8998,0.35,0.0002816869327474719,3,7,False
1.0,1.0,#,1.0,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,0.0,#,#,0.0,0.006046617599999997,0.6,1,49.92162828288,9889,9003,0.3,0.00038975250412316817,9,15,False
1.0,0.0,1.0,0.0,#,#,#,#,#,#,#,#,#,#,1.0,#,0.0,#,#,#,1.0,1.0,1.0,1,34.6509252608,9971,9007,0.3,0.0002705297354095522,14,14,False
#,#,1.0,0.0,1.0,#,1.0,#,#,#,#,#,#,#,1.0,#,#,#,#,#,1.0,0.05168135703518763,0.7435897435897436,1,41.189709563717614,9999,9007,0.25,0.0038792963760396885,29,39,False
1.0,1.0,1.0,#,#,#,#,#,1.0,#,#,0.0,#,0.0,#,#,#,#,0.0,#,0.0,0.0009765625,0.5,1,33.64640000000001,9871,9009,0.35,0.00026268711790450495,4,8,False
1.0,0.0,0.0,1.0,#,#,#,#,#,#,#,0.0,#,#,#,#,0.0,#,#,#,0.0,0.0028007538972582447,0.5555555555555556,1,54.12384,9602,9010,0.3,0.00042256037910518094,5,9,False
#,#,0.0,0.0,#,#,#,#,#,#,1.0,#,#,#,0.0,0.0,1.0,#,#,#,1.0,0.0023312328394264987,0.5454545454545454,1,44.070092800000005,9831,9015,0.3,0.0003440678843328283,6,11,False
#,#,0.0,1.0,#,0.0,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,#,0.0,0.004960332468155193,0.5882352941176471,1,43.5176207122432,9947,9016,0.3,0.00033975457591185255,10,17,False
1.0,0.0,1.0,0.0,#,#,#,#,#,#,#,#,1.0,#,1.0,#,#,#,#,#,1.0,1.0,1.0,1,41.898613170176,9971,9019,0.3,0.0003271145185775972,16,16,False
#,#,0.0,1.0,#,0.0,0.0,#,0.0,#,#,#,#,0.0,#,#,#,#,#,#,0.0,0.007788724579811145,0.6153846153846154,1,39.410697728,9965,9024,0.3,0.00030769064746225276,8,13,False
#,1.0,0.0,0.0,#,#,#,#,1.0,#,0.0,#,#,#,0.0,#,#,#,#,#,1.0,0.017341529915832606,0.6666666666666666,1,38.53395456,9864,9026,0.3,0.00030084566149215234,8,12,False
0.0,#,1.0,1.0,#,#,#,#,#,#,#,1.0,#,#,1.0,#,#,1.0,#,#,1.0,0.1253815679310719,0.8125,1,44.72510697471999,9926,9029,0.3,0.00034918176830685797,13,16,False
0.0,0.0,0.0,#,1.0,1.0,#,#,#,#,#,#,#,#,#,#,1.0,#,1.0,#,1.0,1.0,1.0,1,45.0,9896,9044,0.35,0.00035132793718503977,3,3,False
1.0,#,0.0,1.0,#,#,0.0,#,#,#,#,#,#,0.0,#,#,1.0,#,#,#,0.0,0.010890643668188604,0.6363636363636364,1,38.3363968,9965,9049,0.3,0.0002993032712633591,7,11,False
0.0,0.0,#,0.0,#,#,1.0,#,#,#,#,#,#,#,#,#,#,0.0,#,#,1.0,0.20120590329555849,0.8518518518518519,1,42.80245798203826,9973,9050,0.25,0.00033417109487286317,23,27,False
0.0,#,1.0,1.0,#,#,#,1.0,#,#,#,#,0.0,#,#,#,#,#,#,#,1.0,0.23906771605510008,0.8666666666666667,1,39.207370569742714,9980,9053,0.25,0.0003061032138826032,39,45,False
1.0,1.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1.0,#,#,#,1.0,0.09317443820816998,0.7887323943661971,2,34.413858616376366,9993,9054,0.2,0.0071910899035656835,56,71,False
0.0,0.0,0.0,1.0,#,0.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,0.0,1.0,1.0,8,41.60252479693535,9952,9059,0.25,0.00259842297219498,30,30,False
0.0,0.0,1.0,#,#,#,1.0,#,#,#,#,1.0,#,#,1.0,#,#,#,#,1.0,1.0,0.21405831560130767,0.8571428571428571,1,44.016,9999,9061,0.35,0.0003436455662919269,6,7,False
#,#,1.0,0.0,#,#,0.0,#,#,#,#,#,#,#,#,#,#,#,0.0,#,0.0,0.04228286819738083,0.7288135593220338,1,38.31938489335911,9990,9066,0.2,0.004411154097529342,43,59,False
#,0.0,1.0,0.0,#,#,0.0,0.0,#,1.0,#,0.0,#,0.0,#,0.0,#,#,#,1.0,0.0,0.1,1.0,1,53.0,9067,9067,0.5,0.00041378623712904684,0,0,False
0.0,1.0,0.0,0.0,#,#,#,#,1.0,#,#,#,#,#,#,#,1.0,#,#,#,1.0,1.0,1.0,1,47.499157979136,9992,9068,0.3,0.00037083958201858164,16,16,False
0.0,1.0,0.0,#,#,#,#,#,1.0,#,0.0,#,#,#,0.0,#,#,#,#,0.0,1.0,0.03457161303360778,0.7142857142857143,1,42.736000000000004,9713,9068,0.35,0.0003336522383008858,5,7,False
0.0,1.0,0.0,#,0.0,#,#,#,0.0,#,#,#,#,#,0.0,#,#,0.0,#,#,0.0,0.13443063274931202,0.8181818181818182,3,47.2059392,9908,9069,0.35,0.0011056510161345605,9,11,False
0.0,0.0,0.0,1.0,0.0,0.0,#,#,#,#,#,#,#,0.0,#,#,#,#,#,#,0.0,1.0,1.0,1,45.933440000000004,9901,9070,0.35,0.00035861557162250655,9,9,False
0.0,1.0,0.0,#,#,#,#,#,0.0,0.0,#,#,0.0,#,#,0.0,#,#,#,#,0.0,1.0,1.0,1,48.32,9738,9071,0.35,0.00037724813166180267,6,6,False
0.0,0.0,0.0,1.0,#,0.0,#,#,#,#,#,#,#,#,#,#,0.0,#,#,#,0.0,1.0,1.0,1,43.2926592,9920,9082,0.3,0.00033799823671090966,11,11,False
1.0,#,#,1.0,#,#,0.0,#,#,#,#,#,1.0,0.0,#,#,1.0,#,#,#,0.0,5.9048999999999975e-06,0.3,1,38.431168,9965,9083,0.3,0.00030004317726781577,3,10,False
1.0,#,1.0,0.0,#,#,#,#,#,0.0,#,#,#,#,1.0,#,#,#,#,#,1.0,0.16917666206614587,0.8372093023255814,1,45.99629449657806,9971,9085,0.25,0.00035910629474751924,36,43,False
1.0,0.0,#,#,#,#,#,0.0,#,#,#,#,1.0,#,1.0,1.0,#,#,#,#,1.0,0.1615055828898458,0.8333333333333334,1,37.08,9903,9085,0.3,0.0002894942202404727,5,6,False
0.0,1.0,1.0,1.0,0.0,#,#,#,#,1.0,#,1.0,#,#,#,#,#,1.0,#,#,1.0,1.0,1.0,1,56.333333333333336,9911,9087,0.4,0.0004398105287723831,3,3,False
0.0,0.0,0.0,0.0,1.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,1.0,1.0,1,60.004352,9942,9089,0.3,0.00046847122689522253,10,10,False
0.0,#,1.0,1.0,#,#,#,#,0.0,#,#,0.0,#,#,#,#,1.0,#,#,1.0,0.0,0.2630755761638284,0.875,2,52.4544,9752,9092,0.35,0.0008190531621457311,7,8,False
1.0,#,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0.0,0.0,#,#,0.0,0.09405385072968116,0.7894736842105263,1,45.048434495553536,9767,9093,0.25,0.00035170607921640467,15,19,False
1.0,#,#,1.0,#,#,#,#,#,#,#,#,#,#,#,#,#,1.0,0.0,1.0,1.0,0.09846874009910023,0.7931034482758621,1,46.79179629962935,9930,9095,0.25,0.0003653170060251412,23,29,False
1.0,0.0,0.0,1.0,#,#,#,#,#,#,#,#,#,#,#,1.0,#,1.0,#,#,1.0,0.00020904132382940202,0.42857142857142855,1,49.751999999999995,9610,9096,0.3,0.0003884281673517799,3,7,False
0.0,#,1.0,1.0,#,#,#,#,#,#,#,#,#,0.0,#,#,#,#,0.0,0.0,0.0,0.00015772029579086503,0.4166666666666667,1,50.796352,9806,9098,0.3,0.0003965817236596704,5,12,False
